,participantFrames.7.currentGold,participantFrames.7.dominionScore,participantFrames.7.jungleMinionsKilled,participantFrames.7.level,participantFrames.7.minionsKilled,participantFrames.7.participantId,participantFrames.7.position.x,participantFrames.7.position.y,participantFrames.7.teamScore,participantFrames.7.totalGold,participantFrames.7.xp
0,500,0.0,0,1,0,7,14148.0,14401.0,0.0,500,0
1,0,0.0,0,1,0,7,11017.0,5490.0,0.0,500,0
2,112,0.0,0,1,5,7,11762.0,2108.0,0.0,612,172
3,147,0.0,0,2,8,7,13775.0,10666.0,0.0,797,288
4,145,0.0,0,2,8,7,13837.0,10278.0,0.0,1220,442
5,435,0.0,0,3,15,7,13276.0,3479.0,0.0,1510,881
6,229,0.0,0,3,16,7,12574.0,3004.0,0.0,1654,973
7,1276,0.0,0,5,26,7,11827.0,3638.0,0.0,2701,1853
8,74,0.0,0,5,27,7,13510.0,5852.0,0.0,2899,2013
9,475,0.0,0,6,39,7,13575.0,3825.0,0.0,3300,2458
10,1021,0.0,0,7,52,7,11421.0,1680.0,0.0,3846,3243
11,41,0.0,0,7,61,7,12988.0,14215.0,0.0,4566,3614
12,480,0.0,0,8,76,7,2309.0,12040.0,0.0,5005,4354
13,102,0.0,0,8,76,7,8424.0,13461.0,0.0,5127,4354
14,651,0.0,0,9,92,7,7170.0,13839.0,0.0,5676,5101
15,1089,0.0,4,9,100,7,2196.0,13115.0,0.0,6114,6016
16,344,0.0,4,10,108,7,7960.0,7900.0,0.0,6369,6340
17,740,0.0,4,10,118,7,6696.0,6343.0,0.0,6765,6854
18,1054,0.0,4,10,128,7,7322.0,7524.0,0.0,7154,7154
19,1901,0.0,8,11,135,7,7676.0,7464.0,0.0,8001,7773
20,40,0.0,8,11,142,7,8593.0,9795.0,0.0,8515,8097
21,446,0.0,8,11,153,7,4413.0,9737.0,0.0,8921,8452
22,2290,0.0,8,13,157,7,13994.0,14234.0,0.0,10765,10122
23,1450,0.0,12,13,172,7,1509.0,9761.0,0.0,11615,10846
24,67,0.0,16,13,182,7,12087.0,11948.0,0.0,12582,11427
25,876,0.0,16,14,188,7,2697.0,3242.0,0.0,13390,12291
26,2190,0.0,20,15,196,7,1691.0,5777.0,0.0,14705,13429
27,3490,,20,15,202,7,,,,16065,14166
