,participantFrames.6.currentGold,participantFrames.6.dominionScore,participantFrames.6.jungleMinionsKilled,participantFrames.6.level,participantFrames.6.minionsKilled,participantFrames.6.participantId,participantFrames.6.position.x,participantFrames.6.position.y,participantFrames.6.teamScore,participantFrames.6.totalGold,participantFrames.6.xp
0,500,0.0,0,1,0,6,13670.0,9600.0,0.0,500,25
1,0,0.0,0,1,0,6,7673.0,6600.0,0.0,500,25
2,600,0.0,0,3,8,6,8169.0,4260.0,0.0,1100,938
3,1152,0.0,0,4,16,6,8223.0,4720.0,0.0,1652,1660
4,1612,0.0,0,6,21,6,7140.0,4624.0,0.0,2112,2436
5,2259,0.0,0,7,28,6,7682.0,4478.0,0.0,2759,3573
6,3253,0.0,0,8,33,6,7326.0,7367.0,31.0,3753,4922
7,423,0.0,0,9,34,6,6976.0,4341.0,100.0,4858,5577
8,530,0.0,0,10,36,6,6317.0,4735.0,100.0,5765,6621
9,413,0.0,0,11,39,6,7157.0,4782.0,100.0,6898,7639
10,1853,0.0,2,12,46,6,3492.0,7511.0,4.0,8338,9859
11,1090,0.0,3,14,58,6,13499.0,9837.0,0.0,10141,11936
12,2590,0.0,3,15,63,6,2223.0,8019.0,0.0,11641,13827
13,2795,,3,15,64,6,,,,11845,14028
