,participantFrames.3.currentGold,participantFrames.3.dominionScore,participantFrames.3.jungleMinionsKilled,participantFrames.3.level,participantFrames.3.minionsKilled,participantFrames.3.participantId,participantFrames.3.position.x,participantFrames.3.position.y,participantFrames.3.teamScore,participantFrames.3.totalGold,participantFrames.3.xp
0,500,0.0,0,1,0,3,222.0,471.0,0.0,500,0
1,0,0.0,0,1,0,3,10172.0,2908.0,0.0,500,0
2,84,0.0,0,1,3,3,12131.0,2598.0,0.0,584,115
3,416,0.0,0,2,15,3,12634.0,2977.0,0.0,916,460
4,196,0.0,0,3,25,3,7333.0,1359.0,0.0,1646,798
5,7,0.0,0,4,40,3,2168.0,841.0,0.0,2337,1339
6,255,0.0,0,4,47,3,12835.0,2387.0,0.0,2585,1591
7,440,0.0,0,4,50,3,11955.0,2133.0,0.0,2770,1706
8,884,0.0,0,5,66,3,12144.0,3443.0,0.0,3214,2169
9,1194,0.0,0,6,77,3,12313.0,2547.0,0.0,3524,2610
10,1380,0.0,0,6,81,3,13091.0,2665.0,0.0,3710,2937
11,1046,0.0,0,7,91,3,10268.0,832.0,0.0,4211,3552
12,464,0.0,0,7,104,3,11159.0,4750.0,0.0,4619,4019
13,1292,0.0,0,8,110,3,5217.0,8835.0,0.0,5447,4408
14,2030,0.0,0,9,127,3,5552.0,7641.0,0.0,6185,5407
15,283,0.0,0,9,133,3,7827.0,6000.0,0.0,6413,5631
16,611,0.0,0,9,145,3,7053.0,7546.0,0.0,6741,6096
17,328,0.0,0,10,151,3,5137.0,5243.0,0.0,6968,6243
18,761,0.0,0,10,165,3,5010.0,5099.0,0.0,7401,6595
19,636,0.0,2,10,170,3,8367.0,6646.0,0.0,7741,6872
20,975,0.0,2,11,179,3,3442.0,6306.0,0.0,8080,7406
21,168,0.0,2,11,180,3,3813.0,3737.0,0.0,8573,7806
22,928,,2,11,180,3,,,,9353,8337
