,participantFrames.8.currentGold,participantFrames.8.dominionScore,participantFrames.8.jungleMinionsKilled,participantFrames.8.level,participantFrames.8.minionsKilled,participantFrames.8.participantId,participantFrames.8.position.x,participantFrames.8.position.y,participantFrames.8.teamScore,participantFrames.8.totalGold,participantFrames.8.xp
0,500,0.0,0,1,0,8,13541.0,9778.0,0.0,500,25
1,0,0.0,0,1,0,8,6829.0,8305.0,0.0,500,25
2,709,0.0,0,3,5,8,6629.0,5869.0,0.0,1209,858
3,1139,0.0,0,4,8,8,7972.0,6294.0,0.0,1639,1544
4,1573,0.0,0,5,10,8,8957.0,5924.0,0.0,2073,1966
5,637,0.0,0,6,13,8,7336.0,7911.0,90.0,2737,2676
6,1044,0.0,1,7,16,8,7456.0,7191.0,0.0,3994,3370
7,594,0.0,1,8,22,8,7559.0,8269.0,0.0,4594,4077
8,1696,0.0,2,9,22,8,8638.0,4380.0,0.0,5696,5112
9,968,0.0,2,9,27,8,6918.0,6590.0,0.0,6468,5814
10,2431,0.0,2,11,32,8,5587.0,7382.0,42.0,7931,8229
11,3896,0.0,2,12,39,8,1789.0,8054.0,100.0,9396,9914
12,4129,,2,13,40,8,,,,9629,10396
