,participantFrames.9.currentGold,participantFrames.9.dominionScore,participantFrames.9.jungleMinionsKilled,participantFrames.9.level,participantFrames.9.minionsKilled,participantFrames.9.participantId,participantFrames.9.position.x,participantFrames.9.position.y,participantFrames.9.teamScore,participantFrames.9.totalGold,participantFrames.9.xp
0,500,0.0,0,1,0,9,14148.0,14401.0,0.0,500,0
1,0,0.0,0,1,0,9,10817.0,5531.0,0.0,500,0
2,84,0.0,0,1,3,9,12621.0,2181.0,0.0,584,115
3,360,0.0,0,2,12,9,12459.0,2336.0,0.0,860,384
4,760,0.0,0,3,26,9,12042.0,1986.0,0.0,1260,904
5,1036,0.0,0,4,32,9,13714.0,3603.0,0.0,1536,1227
6,1484,0.0,0,5,48,9,11912.0,1542.0,0.0,1984,1809
7,1816,0.0,0,5,60,9,14240.0,14291.0,0.0,2316,2174
8,263,0.0,0,5,60,9,13649.0,4138.0,0.0,2438,2174
9,752,0.0,0,6,78,9,13046.0,3080.0,0.0,2927,2776
10,1107,0.0,0,7,89,9,11980.0,3645.0,0.0,3282,3201
11,1468,0.0,4,7,94,9,13716.0,4894.0,0.0,3643,3585
12,1871,0.0,4,7,107,9,13823.0,5106.0,0.0,4046,4048
13,107,0.0,4,8,108,9,13645.0,6258.0,0.0,4182,4087
14,521,0.0,4,8,121,9,12669.0,2399.0,0.0,4596,4550
15,93,0.0,4,8,121,9,13552.0,7499.0,0.0,4768,4550
16,15,0.0,4,9,140,9,13385.0,12790.0,0.0,5290,5461
17,413,0.0,4,9,152,9,3595.0,12922.0,0.0,5688,6083
18,65,0.0,4,10,158,9,8282.0,13520.0,0.0,5915,6407
19,415,0.0,4,10,172,9,6267.0,10235.0,0.0,6265,7062
20,567,0.0,8,11,180,9,5572.0,13327.0,0.0,6717,7616
21,958,0.0,8,11,195,9,10012.0,9565.0,0.0,7108,8382
22,31,0.0,8,12,206,9,10842.0,13726.0,0.0,7381,8819
23,1277,0.0,8,12,212,9,8821.0,12877.0,0.0,8627,9348
24,366,0.0,12,13,231,9,12155.0,12470.0,0.0,9466,10793
25,742,0.0,12,13,238,9,11306.0,9740.0,0.0,9842,11083
26,1575,0.0,12,14,267,9,1534.0,9879.0,0.0,10674,12767
27,1033,0.0,20,15,267,9,7160.0,13988.0,0.0,10983,13146
28,1964,0.0,20,15,275,9,9443.0,13477.0,0.0,11914,13794
29,176,0.0,20,15,281,9,11311.0,12461.0,0.0,12225,14465
30,453,0.0,20,16,288,9,10470.0,10045.0,0.0,12503,14782
31,924,0.0,20,16,300,9,12956.0,12130.0,0.0,12973,15094
32,1089,,20,16,300,9,,,,13139,15459
