,participantFrames.4.currentGold,participantFrames.4.dominionScore,participantFrames.4.jungleMinionsKilled,participantFrames.4.level,participantFrames.4.minionsKilled,participantFrames.4.participantId,participantFrames.4.position.x,participantFrames.4.position.y,participantFrames.4.teamScore,participantFrames.4.totalGold,participantFrames.4.xp
0,500,0.0,0,1,0,4,1466.0,9958.0,0.0,500,25
1,0,0.0,0,1,0,4,4660.0,8725.0,0.0,500,25
2,808,0.0,6,3,0,4,8363.0,6227.0,0.0,1308,1005
3,148,0.0,6,4,0,4,6901.0,8023.0,0.0,1648,1200
4,890,0.0,6,5,0,4,4408.0,8160.0,0.0,2390,1822
5,1312,0.0,10,6,1,4,8478.0,8076.0,0.0,3612,2783
6,2479,0.0,16,7,1,4,7345.0,9522.0,100.0,4779,3275
7,1068,0.0,16,8,6,4,8648.0,6161.0,100.0,5843,4152
8,1662,0.0,16,9,10,4,7892.0,7888.0,100.0,6437,5104
9,1909,0.0,22,10,13,4,7805.0,4875.0,67.0,7584,6245
10,1046,0.0,27,10,13,4,7637.0,9595.0,69.0,8496,7229
11,3200,0.0,36,12,19,4,10827.0,5794.0,69.0,10650,9451
12,1165,0.0,46,13,19,4,10104.0,6810.0,31.0,12040,10766
13,916,0.0,50,14,20,4,7729.0,8278.0,78.0,13091,11726
14,3160,,50,16,25,4,,,,15335,14938
