,participantFrames.7.currentGold,participantFrames.7.dominionScore,participantFrames.7.jungleMinionsKilled,participantFrames.7.level,participantFrames.7.minionsKilled,participantFrames.7.participantId,participantFrames.7.position.x,participantFrames.7.position.y,participantFrames.7.teamScore,participantFrames.7.totalGold,participantFrames.7.xp
0,500,0.0,0,1,0,7,14486.0,14291.0,0.0,500,0
1,0,0.0,0,1,0,7,11099.0,5651.0,0.0,500,0
2,83,0.0,0,1,3,7,13371.0,2767.0,0.0,583,134
3,346,0.0,0,2,11,7,13206.0,3967.0,0.0,846,460
4,725,0.0,0,3,24,7,11810.0,3908.0,0.0,1225,867
5,364,0.0,0,4,36,7,14225.0,14129.0,0.0,1564,1352
6,210,0.0,0,4,42,7,12430.0,2276.0,0.0,1785,1538
7,720,0.0,4,5,55,7,13619.0,4215.0,0.0,2295,2154
8,95,0.0,4,6,61,7,13074.0,3988.0,0.0,2570,2406
9,417,0.0,4,6,73,7,13097.0,4173.0,0.0,2892,2776
10,800,0.0,4,7,85,7,12834.0,3083.0,0.0,3275,3332
11,103,0.0,4,7,92,7,13259.0,4850.0,0.0,3878,3800
12,1052,0.0,4,8,106,7,11939.0,3567.0,0.0,4827,4637
13,578,0.0,4,9,126,7,4839.0,13292.0,0.0,5328,5448
14,597,0.0,4,9,133,7,8032.0,7692.0,0.0,5647,5836
15,1173,0.0,4,10,141,7,9081.0,11068.0,0.0,6223,6369
16,670,0.0,4,11,153,7,13208.0,3215.0,0.0,6695,7349
17,1119,0.0,8,11,163,7,9001.0,9125.0,0.0,7144,8031
18,250,0.0,8,11,171,7,13825.0,13567.0,0.0,7475,8314
19,617,0.0,8,12,182,7,13551.0,7901.0,0.0,7842,8789
20,1086,0.0,8,12,193,7,13532.0,6643.0,0.0,8311,9512
21,1126,,8,12,193,7,,,,8351,9512
