,participantFrames.2.currentGold,participantFrames.2.dominionScore,participantFrames.2.jungleMinionsKilled,participantFrames.2.level,participantFrames.2.minionsKilled,participantFrames.2.participantId,participantFrames.2.position.x,participantFrames.2.position.y,participantFrames.2.teamScore,participantFrames.2.totalGold,participantFrames.2.xp
0,500,0,0,1,0,2,311,649,0,500,0
1,45,0,0,1,0,2,11446,6280,0,545,7
2,222,0,4,2,0,2,6932,4148,0,722,303
3,445,0,8,2,0,2,446,503,0,945,545
4,396,0,12,3,1,2,5798,7551,0,1246,821
5,805,0,25,4,1,2,7411,5187,0,1655,1373
6,384,0,30,4,1,2,9555,2643,0,1959,1653
7,566,0,32,5,1,2,10007,7023,0,2141,1777
8,1162,0,38,5,2,2,3185,7303,0,2737,2355
9,1538,0,48,6,2,2,3826,10772,0,3113,2996
10,501,0,48,7,2,2,8684,4058,0,3726,3528
11,1028,0,56,8,10,2,8418,3642,0,4253,4564
12,210,0,60,8,10,2,2671,8213,0,4475,4804
13,108,0,64,9,13,2,3525,1008,0,5373,5798
14,602,0,76,10,13,2,3479,8523,0,5867,6726
15,1299,0,84,11,16,2,8448,2848,0,6564,7581
16,2262,0,88,11,16,2,11489,6954,0,7527,8316
17,459,0,100,12,16,2,3988,10479,0,7999,9026
18,922,0,100,12,16,2,3962,11425,0,8462,9565
19,1206,0,104,12,16,2,10042,3940,0,8746,9804
20,1429,0,108,13,16,2,9061,4016,0,8969,10085
21,1886,0,120,13,17,2,10632,7394,0,9426,10963
22,248,0,124,14,20,2,10899,11319,0,10388,11620
23,196,0,128,14,20,2,4964,8927,0,10611,11860
24,783,0,129,14,20,2,4662,10466,0,11197,12297
25,1235,0,129,15,21,2,1234,10260,0,11650,13200
26,2735,0,149,16,21,2,9096,9666,0,13150,15011
27,3639,0,169,17,21,2,7045,4697,0,14053,16506
28,1225,0,172,17,26,2,10757,12274,0,15065,17105
29,2573,0,172,17,41,2,14054,13894,0,16412,18162
