,participantFrames.8.currentGold,participantFrames.8.dominionScore,participantFrames.8.jungleMinionsKilled,participantFrames.8.level,participantFrames.8.minionsKilled,participantFrames.8.participantId,participantFrames.8.position.x,participantFrames.8.position.y,participantFrames.8.teamScore,participantFrames.8.totalGold,participantFrames.8.xp
0,500,0.0,0,1,0,8,14486.0,14511.0,0.0,500,0
1,0,0.0,0,1,0,8,7353.0,13646.0,0.0,500,0
2,62,0.0,0,1,2,8,2724.0,13079.0,0.0,562,176
3,290,0.0,0,2,7,8,3220.0,13259.0,0.0,790,529
4,711,0.0,0,4,22,8,3070.0,13512.0,0.0,1211,1269
5,1314,0.0,0,5,29,8,1309.0,11252.0,0.0,1814,2069
6,34,0.0,0,5,33,8,10310.0,13925.0,0.0,2184,2351
7,268,0.0,0,6,40,8,2900.0,13030.0,0.0,2418,2674
8,474,0.0,0,6,44,8,2783.0,12938.0,0.0,2624,3116
9,786,0.0,0,7,56,8,4338.0,13522.0,0.0,2936,3705
10,1218,0.0,0,8,71,8,2290.0,12926.0,0.0,3368,4444
11,201,0.0,0,9,84,8,2378.0,11701.0,0.0,3776,5066
12,611,0.0,0,9,97,8,1185.0,9923.0,0.0,4186,5688
13,1543,0.0,0,10,109,8,1066.0,10779.0,0.0,5118,6218
14,472,0.0,0,10,112,8,13218.0,2372.0,0.0,5322,6495
15,706,0.0,0,10,119,8,12673.0,2642.0,0.0,5556,6966
16,128,0.0,0,10,122,8,3499.0,13270.0,0.0,5778,7143
17,154,0.0,0,11,136,8,1220.0,9234.0,0.0,6204,7824
18,549,0.0,0,11,145,8,3245.0,13011.0,0.0,6599,8269
19,989,0.0,0,12,158,8,1297.0,7334.0,0.0,7039,8963
20,1306,0.0,0,12,165,8,5913.0,9055.0,0.0,7356,9349
21,1946,0.0,4,13,167,8,5795.0,9402.0,0.0,7996,10065
22,2371,0.0,8,13,173,8,10090.0,1222.0,0.0,8421,10748
23,165,0.0,8,13,184,8,13388.0,5002.0,0.0,8740,11370
24,545,0.0,8,14,195,8,9686.0,1561.0,0.0,9120,11991
25,808,0.0,8,14,203,8,8533.0,2302.0,0.0,9382,12560
26,214,0.0,8,14,208,8,13721.0,7044.0,0.0,9589,12854
27,531,0.0,8,15,215,8,7629.0,7496.0,0.0,9906,13211
28,675,0.0,8,15,216,8,11992.0,12805.0,0.0,10049,13341
29,937,0.0,8,15,225,8,14062.0,7022.0,0.0,10312,13900
30,1262,0.0,8,15,233,8,12675.0,13299.0,0.0,10636,14530
31,1412,,8,15,234,8,,,,10787,14658
