,participantFrames.2.currentGold,participantFrames.2.dominionScore,participantFrames.2.jungleMinionsKilled,participantFrames.2.level,participantFrames.2.minionsKilled,participantFrames.2.participantId,participantFrames.2.position.x,participantFrames.2.position.y,participantFrames.2.teamScore,participantFrames.2.totalGold,participantFrames.2.xp
0,500,0.0,0,1,0,2,1466.0,9738.0,0.0,500,25
1,0,0.0,0,1,0,2,4613.0,8535.0,0.0,500,25
2,1405,0.0,10,4,0,2,11442.0,7903.0,0.0,1905,1436
3,850,0.0,14,5,1,2,7571.0,8583.0,0.0,2750,2041
4,1658,0.0,24,6,1,2,8315.0,5745.0,0.0,3558,2926
5,2672,0.0,34,8,1,2,7796.0,7655.0,0.0,4572,4249
6,2975,0.0,34,8,2,2,9674.0,7068.0,64.0,5950,4972
7,888,0.0,34,9,3,2,6879.0,7587.0,100.0,6863,5800
8,337,0.0,38,10,3,2,2296.0,9610.0,100.0,7912,7033
9,2104,0.0,52,12,3,2,8466.0,3932.0,100.0,9680,9454
10,704,0.0,56,13,3,2,9747.0,7130.0,36.0,10379,10290
11,1224,0.0,61,14,3,2,4836.0,9442.0,2.0,11999,11466
12,2265,0.0,67,15,9,2,13311.0,7791.0,2.0,13040,13413
13,948,0.0,67,15,10,2,7600.0,7423.0,2.0,13873,14427
14,1089,0.0,67,16,14,2,9613.0,6035.0,60.0,14964,15308
15,1495,,67,16,18,2,,,,15370,16369
