,participantFrames.1.currentGold,participantFrames.1.dominionScore,participantFrames.1.jungleMinionsKilled,participantFrames.1.level,participantFrames.1.minionsKilled,participantFrames.1.participantId,participantFrames.1.position.x,participantFrames.1.position.y,participantFrames.1.teamScore,participantFrames.1.totalGold,participantFrames.1.xp
0,500,0.0,0,1,0,1,222.0,471.0,0.0,500,0
1,0,0.0,0,1,0,1,11186.0,4613.0,0.0,500,0
2,84,0.0,0,1,3,1,12693.0,2420.0,0.0,584,115
3,497,0.0,0,2,18,1,13311.0,3543.0,0.0,997,578
4,767,0.0,0,3,26,1,12178.0,2299.0,0.0,1267,866
5,1169,0.0,0,4,40,1,13333.0,4011.0,0.0,1669,1329
6,1568,0.0,0,5,53,1,13035.0,2864.0,0.0,2068,1735
7,42,0.0,0,5,57,1,8314.0,1276.0,0.0,2267,1907
8,178,0.0,0,5,58,1,8906.0,1213.0,0.0,2403,2064
9,129,0.0,0,5,60,1,9359.0,1471.0,0.0,2704,2383
10,629,0.0,0,7,75,1,12454.0,3243.0,0.0,3204,3195
11,674,0.0,0,7,85,1,10777.0,1740.0,0.0,3549,3517
12,227,0.0,0,7,90,1,1222.0,695.0,0.0,4202,3995
13,838,0.0,0,8,101,1,13712.0,5225.0,0.0,4813,4453
14,230,0.0,0,8,105,1,6788.0,6300.0,0.0,5005,4751
15,110,0.0,0,9,117,1,2637.0,5771.0,0.0,5885,5301
16,889,0.0,0,9,134,1,5181.0,13928.0,0.0,6664,6109
17,1413,0.0,0,10,136,1,6639.0,11421.0,0.0,7188,6593
18,1012,0.0,0,11,151,1,9569.0,9417.0,0.0,7662,7362
19,53,0.0,0,11,165,1,3732.0,3308.0,0.0,8278,7878
20,791,0.0,4,12,174,1,6681.0,10119.0,0.0,9016,8787
21,761,0.0,4,13,184,1,7829.0,1694.0,0.0,10285,10416
22,48,0.0,4,13,185,1,8989.0,11168.0,0.0,10798,10911
23,470,0.0,4,13,185,1,10447.0,10272.0,0.0,11220,10911
24,825,0.0,6,13,191,1,11684.0,7821.0,0.0,11574,11228
25,1567,0.0,16,14,207,1,6459.0,13486.0,0.0,12317,12760
26,2999,,16,15,222,1,,,,13749,13790
