,participantFrames.9.currentGold,participantFrames.9.dominionScore,participantFrames.9.jungleMinionsKilled,participantFrames.9.level,participantFrames.9.minionsKilled,participantFrames.9.participantId,participantFrames.9.position.x,participantFrames.9.position.y,participantFrames.9.teamScore,participantFrames.9.totalGold,participantFrames.9.xp
0,500,0,0,1,0,9,14148,14401,0,500,0
1,0,0,0,1,0,9,11582,7135,0,500,0
2,97,0,0,1,4,9,12440,2684,0,597,134
3,395,0,0,2,14,9,12689,2452,0,895,460
4,1210,0,0,3,26,9,12153,1395,0,1710,1053
5,124,0,0,3,28,9,13160,3296,0,1874,1129
6,467,0,0,4,41,9,12348,2751,0,2217,1537
7,913,0,0,5,53,9,8477,3607,0,2663,1976
8,1293,0,0,5,65,9,14058,14090,0,3043,2343
9,255,0,0,6,72,9,13022,3771,0,3305,2683
10,782,0,0,7,86,9,12022,2714,0,3832,3302
11,159,0,0,7,93,9,13076,3837,0,4784,3871
12,598,0,0,8,108,9,12617,5675,0,5223,4502
13,1016,0,4,9,120,9,11770,2763,0,5641,5095
14,1932,0,4,9,135,9,8898,1648,0,6557,5816
15,500,0,4,9,138,9,3973,13693,0,6725,5878
16,776,0,4,10,143,9,1986,12505,0,8201,6976
17,1218,0,8,11,153,9,7392,11915,0,8717,7959
18,1579,0,10,11,164,9,2752,11784,0,9079,8513
19,1921,0,10,12,177,9,3101,11481,0,9421,8937
20,249,0,10,12,185,9,9736,9556,0,9864,9217
21,814,0,14,12,201,9,6373,11123,0,10429,9860
22,2557,0,14,13,212,9,4822,10036,0,12171,11377
23,803,0,18,14,227,9,6921,6892,0,12943,12746
24,1759,0,18,15,236,9,4584,4841,0,13898,13259
25,2239,0,22,15,247,9,7246,6993,0,14378,13953
26,711,0,26,15,255,9,8179,1515,0,14951,14326
27,1940,0,26,16,265,9,4926,1358,0,16180,15263
28,1043,0,30,16,265,9,3459,11611,0,16402,15452
29,2010,0,30,17,295,9,1665,6505,0,17369,16590
30,3033,0,30,17,295,9,7388,6976,0,18392,17906
31,3965,0,30,18,312,9,4078,3952,0,19324,18674
32,747,0,30,18,312,9,11936,2469,0,19446,18774
33,1379,0,30,18,333,9,4987,977,0,20078,19539
34,2110,0,30,18,349,9,4454,4012,0,20809,19885
35,3903,0,30,18,369,9,1750,1046,0,22602,21146
