,participantFrames.10.currentGold,participantFrames.10.dominionScore,participantFrames.10.jungleMinionsKilled,participantFrames.10.level,participantFrames.10.minionsKilled,participantFrames.10.participantId,participantFrames.10.position.x,participantFrames.10.position.y,participantFrames.10.teamScore,participantFrames.10.totalGold,participantFrames.10.xp
0,500,0.0,0,1,0,10,14148.0,14401.0,0.0,500,0
1,0,0.0,0,1,0,10,13059.0,4612.0,0.0,500,0
2,97,0.0,0,1,4,10,12781.0,2520.0,0.0,597,134
3,475,0.0,0,2,17,10,10857.0,1792.0,0.0,975,588
4,781,0.0,0,3,27,10,12621.0,2245.0,0.0,1281,895
5,1092,0.0,0,4,35,10,12407.0,2985.0,0.0,1592,1186
6,104,0.0,0,4,46,10,13276.0,5781.0,0.0,1904,1493
7,507,0.0,0,5,55,10,11296.0,1611.0,0.0,2307,1965
8,47,0.0,0,5,59,10,13462.0,6787.0,0.0,2547,2196
9,334,0.0,0,6,69,10,13186.0,2167.0,0.0,2834,2549
10,752,0.0,0,6,83,10,12857.0,3134.0,0.0,3252,3017
11,185,0.0,0,7,85,10,13727.0,7667.0,0.0,3760,3211
12,672,0.0,0,7,103,10,9227.0,4366.0,0.0,4247,3939
13,1018,0.0,0,8,116,10,3924.0,14056.0,0.0,4593,4436
14,271,0.0,0,8,120,10,6759.0,13995.0,0.0,4896,4675
15,937,0.0,4,9,139,10,2235.0,9500.0,0.0,5562,5578
16,509,0.0,4,9,142,10,5070.0,5457.0,0.0,6034,5948
17,852,0.0,4,10,143,10,7833.0,10969.0,0.0,6377,6154
18,1004,0.0,4,10,144,10,8651.0,10600.0,0.0,6529,6379
19,357,0.0,4,10,145,10,4874.0,7701.0,0.0,6682,6403
20,982,0.0,4,10,150,10,7659.0,7903.0,0.0,7307,7124
21,304,0.0,4,11,158,10,8920.0,6283.0,0.0,7654,7431
22,1088,0.0,12,12,159,10,8448.0,5591.0,0.0,8438,8649
23,295,0.0,16,12,167,10,10656.0,11265.0,0.0,8910,9335
24,1238,0.0,16,12,176,10,9333.0,3570.0,0.0,9852,9909
25,325,0.0,16,13,188,10,6356.0,13930.0,0.0,10240,10413
26,777,0.0,16,13,203,10,8513.0,8456.0,0.0,10692,11017
27,1228,0.0,16,14,208,10,4116.0,9922.0,0.0,11143,11555
28,1482,0.0,20,14,209,10,7137.0,9579.0,0.0,11396,11797
29,558,0.0,20,14,228,10,4018.0,13471.0,0.0,11973,12726
30,831,0.0,20,14,228,10,11796.0,14098.0,0.0,12245,12726
31,1733,0.0,23,15,243,10,4347.0,9792.0,0.0,13147,14512
32,1302,0.0,23,16,250,10,3560.0,4867.0,0.0,13566,15597
33,1721,,23,16,254,10,,,,14046,15817
