,participantFrames.5.currentGold,participantFrames.5.dominionScore,participantFrames.5.jungleMinionsKilled,participantFrames.5.level,participantFrames.5.minionsKilled,participantFrames.5.participantId,participantFrames.5.position.x,participantFrames.5.position.y,participantFrames.5.teamScore,participantFrames.5.totalGold,participantFrames.5.xp
0,500,0.0,0,1,0,5,222.0,471.0,0.0,500,0
1,0,0.0,0,1,0,5,10139.0,1009.0,0.0,500,0
2,63,0.0,0,1,2,5,12606.0,2115.0,0.0,563,76
3,141,0.0,0,1,5,5,10958.0,1780.0,0.0,741,231
4,576,0.0,0,3,21,5,10741.0,1580.0,0.0,1176,682
5,262,0.0,0,3,22,5,5665.0,1006.0,0.0,1312,760
6,562,0.0,0,3,31,5,11195.0,1922.0,0.0,1612,1072
7,974,0.0,0,4,45,5,10538.0,3058.0,0.0,2024,1477
8,1340,0.0,0,5,56,5,11921.0,2030.0,0.0,2390,1924
9,371,0.0,0,5,63,5,10601.0,1691.0,0.0,2646,2154
10,940,0.0,0,6,76,5,11602.0,1600.0,0.0,3215,2749
11,364,0.0,0,6,85,5,10635.0,1203.0,0.0,3539,2990
12,703,0.0,0,7,96,5,10774.0,1350.0,0.0,3878,3450
13,1262,0.0,0,8,108,5,10879.0,1474.0,0.0,4437,4087
14,521,0.0,0,8,115,5,11049.0,1517.0,0.0,4746,4339
15,721,0.0,0,8,117,5,4795.0,777.0,0.0,4946,4377
16,1236,0.0,0,9,136,5,11891.0,1785.0,0.0,5461,5121
17,449,0.0,0,9,148,5,11230.0,5560.0,0.0,5859,5488
18,449,0.0,0,10,155,5,5762.0,5892.0,0.0,6659,6205
19,852,0.0,0,10,170,5,6180.0,6665.0,0.0,7062,6614
20,34,0.0,0,10,170,5,3888.0,3640.0,0.0,7184,6720
21,422,0.0,0,10,181,5,4781.0,6558.0,0.0,7572,7291
22,62,0.0,0,11,193,5,2497.0,2528.0,0.0,8137,7939
23,504,0.0,0,11,207,5,5927.0,6913.0,0.0,8579,8364
24,976,0.0,0,12,220,5,6233.0,6578.0,0.0,9051,8868
25,1393,0.0,4,12,227,5,6449.0,6479.0,0.0,9468,9364
26,1818,0.0,4,12,239,5,3365.0,3861.0,0.0,9893,9879
27,145,0.0,4,13,242,5,1972.0,2292.0,0.0,10434,10867
28,590,0.0,4,14,254,5,6187.0,9572.0,0.0,10955,11862
29,1312,0.0,4,15,261,5,5602.0,5183.0,0.0,11677,13044
30,331,0.0,12,15,268,5,4391.0,1093.0,0.0,12195,13647
31,805,0.0,12,15,288,5,13487.0,6606.0,0.0,12670,14385
32,1305,0.0,12,15,295,5,5828.0,5920.0,0.0,13169,14624
33,359,0.0,14,16,308,5,2597.0,3897.0,0.0,13723,15261
34,811,0.0,14,16,322,5,9518.0,5431.0,0.0,14176,15889
35,768,,14,16,322,5,,,,14353,16216
