,participantFrames.8.currentGold,participantFrames.8.dominionScore,participantFrames.8.jungleMinionsKilled,participantFrames.8.level,participantFrames.8.minionsKilled,participantFrames.8.participantId,participantFrames.8.position.x,participantFrames.8.position.y,participantFrames.8.teamScore,participantFrames.8.totalGold,participantFrames.8.xp
0,500,0.0,0,1,0,8,14486.0,14291.0,0.0,500,0
1,0,0.0,0,1,0,8,11788.0,3883.0,0.0,500,0
2,84,0.0,0,1,3,8,13548.0,3416.0,0.0,584,115
3,346,0.0,0,2,11,8,10194.0,5087.0,0.0,846,465
4,689,0.0,0,4,20,8,13383.0,4634.0,0.0,1189,1146
5,1064,0.0,0,4,32,8,13262.0,3332.0,0.0,1564,1631
6,178,0.0,0,5,34,8,13516.0,3236.0,0.0,1728,1728
7,911,0.0,0,5,50,8,12167.0,2425.0,0.0,2461,2363
8,268,0.0,0,6,59,8,13872.0,3258.0,0.0,2793,2654
9,607,0.0,0,6,71,8,12843.0,3162.0,0.0,3132,3033
10,983,0.0,0,7,84,8,12950.0,2569.0,0.0,3508,3518
11,133,0.0,0,7,86,8,12480.0,2890.0,0.0,3658,3665
12,703,0.0,0,8,99,8,11684.0,2012.0,0.0,4228,4336
13,1047,0.0,0,8,110,8,13022.0,3142.0,0.0,4572,4665
14,1441,0.0,0,8,121,8,13385.0,2838.0,0.0,4966,5011
15,128,0.0,0,9,122,8,13526.0,7785.0,0.0,5103,5159
16,694,0.0,0,9,140,8,9283.0,5384.0,0.0,5669,6079
17,1099,0.0,0,10,151,8,12171.0,1484.0,0.0,6074,6587
18,372,0.0,0,10,162,8,13557.0,13626.0,0.0,6647,7198
19,870,0.0,0,11,176,8,4703.0,9128.0,0.0,7145,7908
20,180,0.0,4,11,176,8,9521.0,7350.0,0.0,7405,8388
21,422,0.0,4,12,183,8,5241.0,13823.0,0.0,7722,8818
22,9,0.0,4,12,197,8,13691.0,14257.0,0.0,8609,9757
23,159,0.0,4,12,199,8,5510.0,13497.0,0.0,8759,9816
24,378,0.0,4,13,212,8,12237.0,11019.0,0.0,9218,10497
25,389,,4,13,212,8,,,,9289,10529
