,participantFrames.2.currentGold,participantFrames.2.dominionScore,participantFrames.2.jungleMinionsKilled,participantFrames.2.level,participantFrames.2.minionsKilled,participantFrames.2.participantId,participantFrames.2.position.x,participantFrames.2.position.y,participantFrames.2.teamScore,participantFrames.2.totalGold,participantFrames.2.xp
0,500,0.0,0,1,0,2,222.0,471.0,0.0,500,0
1,0,0.0,0,1,0,2,10976.0,1462.0,0.0,500,0
2,62,0.0,0,1,2,2,12145.0,1766.0,0.0,562,115
3,62,0.0,0,1,4,2,8530.0,1263.0,0.0,1012,171
4,392,0.0,0,2,14,2,10927.0,2335.0,0.0,1342,575
5,781,0.0,0,3,26,2,11059.0,1557.0,0.0,1731,1000
6,1876,0.0,0,4,34,2,11468.0,1283.0,0.0,2826,1532
7,208,0.0,0,5,42,2,11953.0,2338.0,0.0,3433,1885
8,553,0.0,0,5,51,2,11119.0,1789.0,0.0,3778,2235
9,1023,0.0,0,6,68,2,12727.0,2810.0,0.0,4248,2741
10,1299,0.0,0,6,76,2,10698.0,1318.0,0.0,4524,3030
11,1730,0.0,0,7,91,2,13237.0,2421.0,0.0,4955,3681
12,2140,0.0,0,8,104,2,11686.0,1972.0,0.0,5365,4087
13,376,0.0,0,8,115,2,13415.0,4449.0,0.0,5726,4617
14,810,0.0,8,9,122,2,10768.0,1653.0,0.0,6160,5223
15,238,0.0,8,9,134,2,394.0,461.0,0.0,7288,5907
16,538,0.0,8,10,144,2,7345.0,7175.0,0.0,7588,6292
17,170,0.0,8,10,151,2,4224.0,12616.0,0.0,8220,6751
18,1019,0.0,8,10,158,2,5635.0,5595.0,0.0,9069,7264
19,479,0.0,12,11,161,2,6444.0,4937.0,0.0,9354,7621
20,931,0.0,12,11,175,2,8469.0,4734.0,0.0,9806,8110
21,1746,0.0,16,12,180,2,6214.0,10363.0,0.0,10621,9035
22,1642,0.0,16,12,189,2,6355.0,8137.0,0.0,10982,9332
23,334,0.0,16,12,202,2,5788.0,8555.0,0.0,11398,9855
24,1146,0.0,16,13,217,2,5067.0,7772.0,0.0,12211,10425
25,1962,0.0,20,13,231,2,8803.0,9345.0,0.0,13027,11129
26,1240,0.0,20,13,240,2,3582.0,3097.0,0.0,13404,11430
27,2688,0.0,24,14,242,2,4067.0,11508.0,0.0,14853,12908
28,416,0.0,28,15,257,2,7815.0,7556.0,0.0,15470,13979
29,1138,0.0,28,15,265,2,13267.0,6452.0,0.0,16192,14689
30,1360,0.0,32,16,265,2,6751.0,6636.0,0.0,16415,14869
31,2966,0.0,32,16,284,2,11638.0,11324.0,0.0,18021,15834
32,3847,,32,16,292,2,,,,19122,16369
