,participantFrames.9.currentGold,participantFrames.9.dominionScore,participantFrames.9.jungleMinionsKilled,participantFrames.9.level,participantFrames.9.minionsKilled,participantFrames.9.participantId,participantFrames.9.position.x,participantFrames.9.position.y,participantFrames.9.teamScore,participantFrames.9.totalGold,participantFrames.9.xp
0,500,0,0,1,0,9,13541,9778,0,500,25
1,0,0,0,1,0,9,8227,3703,0,500,25
2,1204,0,0,3,6,9,8370,4336,0,1704,898
3,504,0,0,5,12,9,7978,4689,0,2304,2057
4,1093,0,0,6,21,9,8006,4714,0,2893,3131
5,551,0,0,7,22,9,8067,5788,36,3450,3671
6,96,0,0,8,23,9,9334,5317,41,3846,4241
7,775,0,0,9,27,9,9381,4918,41,4525,5072
8,2258,0,0,10,32,9,7971,5881,41,6008,6557
9,1096,0,0,11,41,9,7514,7059,8,7181,8006
10,471,0,0,12,43,9,6208,6271,100,8271,8952
11,1727,0,2,13,47,9,5554,4951,100,9527,10863
12,1550,0,2,14,49,9,5824,4769,100,10600,12246
13,831,0,2,15,54,9,10068,6690,3,11131,13192
14,535,0,2,15,54,9,11456,7490,0,11935,14116
15,103,0,2,15,54,9,8328,7308,0,12353,14296
16,1230,0,2,17,63,9,9677,7232,100,13480,17036
17,238,0,3,17,63,9,9800,8051,6,14288,17935
