,participantFrames.10.currentGold,participantFrames.10.dominionScore,participantFrames.10.jungleMinionsKilled,participantFrames.10.level,participantFrames.10.minionsKilled,participantFrames.10.participantId,participantFrames.10.position.x,participantFrames.10.position.y,participantFrames.10.teamScore,participantFrames.10.totalGold,participantFrames.10.xp
0,1400,0.0,0,1,0,10,11757.0,11784.0,0.0,1400,660
1,0,0.0,0,3,0,10,7336.0,8127.0,0.0,1400,957
2,501,0.0,0,4,4,10,6934.0,6002.0,0.0,1901,1483
3,1021,0.0,0,5,8,10,5567.0,6195.0,0.0,2421,2177
4,1992,0.0,0,6,11,10,6323.0,6584.0,0.0,3392,2924
5,2709,0.0,0,7,18,10,7129.0,6303.0,0.0,4109,3714
6,3120,0.0,0,8,19,10,6218.0,6364.0,0.0,4520,4243
7,315,0.0,0,8,20,10,10810.0,10325.0,0.0,5115,4897
8,913,0.0,0,9,30,10,5857.0,5734.0,0.0,5713,5562
9,1727,0.0,0,10,40,10,6381.0,6163.0,0.0,6527,7025
10,1348,0.0,0,12,41,10,7909.0,8150.0,0.0,7648,8903
11,940,0.0,0,12,41,10,5700.0,6362.0,0.0,8040,9493
12,495,0.0,0,13,44,10,9309.0,8357.0,0.0,8845,10704
13,1127,0.0,0,14,48,10,10167.0,9764.0,0.0,9477,11509
14,434,0.0,0,14,49,10,7535.0,8443.0,0.0,10034,12003
15,1108,0.0,0,15,51,10,5482.0,4912.0,0.0,10708,13159
16,694,0.0,0,15,51,10,8769.0,9310.0,0.0,11394,13853
17,776,0.0,0,16,52,10,11007.0,10271.0,0.0,12326,14872
18,1908,0.0,0,17,63,10,6034.0,6543.0,0.0,13458,17251
19,1183,0.0,0,18,72,10,10764.0,9462.0,0.0,14533,18561
20,2460,0.0,0,18,77,10,11269.0,9156.0,0.0,15810,20109
21,1166,,0,18,77,10,,,,16016,20297
