,participantFrames.7.currentGold,participantFrames.7.dominionScore,participantFrames.7.jungleMinionsKilled,participantFrames.7.level,participantFrames.7.minionsKilled,participantFrames.7.participantId,participantFrames.7.position.x,participantFrames.7.position.y,participantFrames.7.teamScore,participantFrames.7.totalGold,participantFrames.7.xp
0,500,0.0,0,1,0,7,14486.0,14291.0,0.0,500,0
1,0,0.0,0,1,0,7,12016.0,7555.0,0.0,500,0
2,98,0.0,0,1,4,7,13003.0,2409.0,0.0,598,134
3,437,0.0,0,2,17,7,11678.0,1947.0,0.0,937,518
4,704,0.0,0,3,23,7,13583.0,4835.0,0.0,1204,751
5,1092,0.0,0,4,36,7,13113.0,2733.0,0.0,1592,1332
6,199,0.0,0,4,40,7,13377.0,4464.0,0.0,1799,1447
7,492,0.0,0,5,48,7,13805.0,3823.0,0.0,2092,1721
8,1352,0.0,0,5,61,7,11755.0,3893.0,0.0,2952,2293
9,227,0.0,0,6,65,7,12051.0,2221.0,0.0,3202,2602
10,571,0.0,0,6,74,7,13055.0,2223.0,0.0,3546,2975
11,895,0.0,0,7,82,7,14036.0,6880.0,0.0,3870,3261
12,1333,0.0,0,7,97,7,13319.0,6576.0,0.0,4308,3715
13,644,0.0,0,8,108,7,12406.0,6109.0,0.0,4619,4245
14,470,0.0,4,8,111,7,1805.0,13011.0,0.0,5170,4701
15,130,0.0,4,9,114,7,13622.0,6380.0,0.0,5430,5200
16,70,0.0,4,9,123,7,4814.0,13613.0,0.0,5770,5645
17,468,0.0,4,10,135,7,6701.0,13920.0,0.0,6168,6297
18,904,0.0,4,10,149,7,7419.0,12107.0,0.0,6604,6865
19,294,0.0,8,10,152,7,12655.0,13331.0,0.0,6869,7201
20,946,0.0,8,11,161,7,8143.0,10349.0,0.0,7521,7690
21,1132,0.0,8,11,164,7,4927.0,13842.0,0.0,7707,7867
22,185,0.0,8,12,174,7,12952.0,12476.0,0.0,8260,8700
23,391,0.0,8,12,194,7,4739.0,11890.0,0.0,8856,9590
24,569,,12,12,195,7,,,,9094,9869
