,participantFrames.6.currentGold,participantFrames.6.dominionScore,participantFrames.6.jungleMinionsKilled,participantFrames.6.level,participantFrames.6.minionsKilled,participantFrames.6.participantId,participantFrames.6.position.x,participantFrames.6.position.y,participantFrames.6.teamScore,participantFrames.6.totalGold,participantFrames.6.xp
0,500,0.0,0,1,0,6,14148.0,14401.0,0.0,500,0
1,0,0.0,0,1,0,6,13689.0,4646.0,0.0,500,0
2,98,0.0,0,1,4,6,12557.0,2220.0,0.0,598,134
3,490,0.0,0,2,17,6,12170.0,2084.0,0.0,990,559
4,795,0.0,0,3,27,6,12680.0,1992.0,0.0,1295,904
5,1448,0.0,0,4,38,6,11539.0,3035.0,0.0,1948,1623
6,138,0.0,0,5,40,6,11995.0,2433.0,0.0,2113,1738
7,564,0.0,0,5,55,6,13568.0,4271.0,0.0,2539,2325
8,972,0.0,0,6,69,6,10004.0,5102.0,0.0,2947,2762
9,1360,0.0,4,6,80,6,10517.0,3076.0,0.0,3335,3156
10,1722,0.0,4,7,93,6,12353.0,1272.0,0.0,3697,3536
11,125,0.0,4,7,100,6,13130.0,3994.0,0.0,4000,3768
12,577,0.0,4,8,116,6,10672.0,1857.0,0.0,4452,4436
13,839,0.0,4,8,124,6,13497.0,3526.0,0.0,4714,4704
14,1302,0.0,4,9,140,6,13118.0,4062.0,0.0,5177,5187
15,503,0.0,4,9,150,6,10713.0,2665.0,0.0,5553,5715
16,948,0.0,4,10,161,6,11164.0,3278.0,0.0,5998,6140
17,173,0.0,4,10,172,6,7207.0,13585.0,0.0,6398,6828
18,534,0.0,6,11,182,6,8917.0,9753.0,0.0,6759,7372
19,799,0.0,6,11,188,6,8966.0,10930.0,0.0,7024,7563
20,1439,0.0,14,12,199,6,6390.0,12774.0,0.0,7664,8752
21,1855,0.0,14,12,216,6,7282.0,7025.0,0.0,8080,9396
22,1040,0.0,16,13,216,6,6081.0,5073.0,0.0,9165,10025
23,1733,0.0,17,13,220,6,1086.0,10924.0,0.0,9858,11389
24,910,0.0,17,14,232,6,5240.0,13142.0,0.0,10360,11815
25,1645,0.0,21,14,237,6,1606.0,9319.0,0.0,11095,12799
26,2717,0.0,21,15,251,6,4197.0,3846.0,0.0,12167,13282
27,3427,0.0,21,15,251,6,2644.0,3897.0,0.0,12876,13548
28,369,0.0,29,15,251,6,4632.0,8582.0,0.0,13239,13959
29,1261,0.0,29,15,263,6,6038.0,1569.0,0.0,14131,14590
30,1923,,29,16,263,6,,,,14823,14969
