,participantFrames.7.currentGold,participantFrames.7.dominionScore,participantFrames.7.jungleMinionsKilled,participantFrames.7.level,participantFrames.7.minionsKilled,participantFrames.7.participantId,participantFrames.7.position.x,participantFrames.7.position.y,participantFrames.7.teamScore,participantFrames.7.totalGold,participantFrames.7.xp
0,500,0.0,0,1,0,7,14148.0,14401.0,0.0,500,0
1,0,0.0,0,1,0,7,8602.0,4658.0,0.0,500,0
2,63,0.0,0,1,2,7,12915.0,2401.0,0.0,563,76
3,304,0.0,0,2,9,7,13857.0,4815.0,0.0,804,384
4,285,0.0,0,3,16,7,14102.0,13474.0,0.0,1085,802
5,421,0.0,0,4,23,7,13171.0,3871.0,0.0,1371,1382
6,182,0.0,0,4,27,7,13434.0,7099.0,0.0,1557,1498
7,46,0.0,0,4,29,7,13750.0,9329.0,0.0,1721,1594
8,405,0.0,0,5,40,7,13531.0,3811.0,0.0,2080,1961
9,661,0.0,0,5,48,7,14103.0,6238.0,0.0,2336,2269
10,811,0.0,0,6,50,7,13550.0,7536.0,0.0,2486,2432
11,1163,0.0,0,6,60,7,13429.0,6194.0,0.0,2838,2956
12,35,0.0,0,7,68,7,10435.0,10636.0,0.0,3100,3235
13,897,0.0,0,7,76,7,8342.0,8499.0,0.0,3962,3963
14,1606,0.0,0,8,86,7,8298.0,7960.0,0.0,4671,4518
15,94,0.0,0,8,88,7,7777.0,7821.0,0.0,4859,4771
16,539,0.0,4,9,100,7,7897.0,7517.0,0.0,5304,5300
17,125,0.0,4,9,109,7,11495.0,12090.0,0.0,5765,5604
18,1456,0.0,4,10,119,7,6756.0,6229.0,0.0,7096,6646
19,1963,0.0,4,10,126,7,4275.0,9783.0,0.0,7603,7043
20,3123,0.0,4,11,142,7,3308.0,4177.0,0.0,8763,7751
21,663,0.0,4,11,143,7,6014.0,9468.0,0.0,9378,7886
22,485,0.0,4,11,143,7,7942.0,13757.0,0.0,9500,7886
23,200,0.0,4,12,166,7,11258.0,11643.0,0.0,10215,8927
24,1411,0.0,4,12,169,7,8396.0,8873.0,0.0,11426,9536
25,2093,0.0,8,13,177,7,3076.0,10756.0,0.0,12107,10093
26,1017,0.0,8,13,185,7,4328.0,4971.0,0.0,12432,10396
27,19,0.0,8,13,185,7,12470.0,14086.0,0.0,12554,10396
28,606,0.0,12,13,202,7,10238.0,7208.0,0.0,13140,11306
29,947,0.0,12,14,205,7,12538.0,12052.0,0.0,13481,12064
30,1988,0.0,12,15,215,7,4789.0,10126.0,0.0,14522,13807
31,1139,0.0,16,15,222,7,8522.0,3858.0,0.0,14949,14260
32,1349,0.0,16,15,222,7,9590.0,892.0,0.0,15159,14471
33,305,0.0,16,15,225,7,11920.0,12727.0,0.0,15414,14690
34,477,0.0,16,16,225,7,10980.0,10689.0,0.0,15586,14913
35,765,0.0,20,16,233,7,13074.0,12031.0,0.0,15874,15215
36,2930,0.0,20,16,249,7,2079.0,2984.0,0.0,18039,16356
37,3127,0.0,20,16,249,7,4825.0,5516.0,0.0,18236,16356
38,821,,20,16,249,7,,,,18271,16356
