,participantFrames.5.currentGold,participantFrames.5.dominionScore,participantFrames.5.jungleMinionsKilled,participantFrames.5.level,participantFrames.5.minionsKilled,participantFrames.5.participantId,participantFrames.5.position.x,participantFrames.5.position.y,participantFrames.5.teamScore,participantFrames.5.totalGold,participantFrames.5.xp
0,500,0.0,0,1,0,5,561.0,581.0,0.0,500,0
1,0,0.0,0,1,0,5,1333.0,10271.0,0.0,500,0
2,41,0.0,0,1,1,5,2673.0,12517.0,0.0,541,176
3,461,0.0,0,3,16,5,3614.0,13191.0,0.0,961,886
4,711,0.0,0,4,23,5,1979.0,12062.0,0.0,1211,1269
5,272,0.0,0,4,31,5,1496.0,10753.0,0.0,1522,1714
6,992,0.0,0,6,46,5,2410.0,12943.0,0.0,2242,2847
7,302,0.0,0,6,49,5,1782.0,12343.0,0.0,2427,3023
8,215,0.0,0,7,55,5,939.0,4942.0,0.0,2640,3347
9,492,0.0,0,7,64,5,2125.0,11723.0,0.0,2917,3969
10,769,0.0,0,8,70,5,2435.0,12827.0,0.0,3194,4411
11,1372,0.0,0,9,77,5,4243.0,13690.0,0.0,3797,5053
12,413,0.0,0,9,77,5,6132.0,3953.0,0.0,4338,5452
13,692,0.0,0,9,77,5,3175.0,10969.0,0.0,4617,5682
14,1099,0.0,0,10,91,5,4103.0,13031.0,0.0,5024,6569
15,112,0.0,0,10,96,5,2599.0,12210.0,0.0,5237,6893
16,1167,0.0,0,11,106,5,8692.0,10011.0,0.0,6292,7702
17,1517,0.0,4,11,114,5,3944.0,9494.0,0.0,6642,8306
18,2052,0.0,8,12,125,5,4488.0,9916.0,0.0,7177,9099
19,229,0.0,8,12,131,5,7496.0,4912.0,0.0,7404,9474
20,1318,0.0,8,13,133,5,9078.0,11095.0,0.0,8493,10351
21,267,0.0,12,13,134,5,10380.0,1651.0,0.0,8742,10559
22,1250,0.0,12,14,152,5,13556.0,5892.0,0.0,9725,11508
23,2533,0.0,12,14,155,5,13803.0,12346.0,0.0,11008,12702
24,2997,,12,15,155,5,,,,11472,13417
