,participantFrames.10.currentGold,participantFrames.10.dominionScore,participantFrames.10.jungleMinionsKilled,participantFrames.10.level,participantFrames.10.minionsKilled,participantFrames.10.participantId,participantFrames.10.position.x,participantFrames.10.position.y,participantFrames.10.teamScore,participantFrames.10.totalGold,participantFrames.10.xp
0,500,0.0,0,1,0,10,14148.0,14401.0,0.0,500,0
1,0,0.0,0,1,0,10,11564.0,7189.0,0.0,500,0
2,84,0.0,0,1,3,10,12937.0,3240.0,0.0,584,115
3,346,0.0,0,2,11,10,13512.0,3687.0,0.0,846,375
4,725,0.0,0,3,23,10,13686.0,4172.0,0.0,1225,819
5,1348,0.0,0,4,36,10,11952.0,2930.0,0.0,1848,1460
6,76,0.0,0,4,42,10,13728.0,9371.0,0.0,2226,1710
7,282,0.0,0,5,46,10,13900.0,4790.0,0.0,2432,1905
8,670,0.0,0,6,62,10,13482.0,4384.0,0.0,2820,2455
9,86,0.0,0,6,70,10,13222.0,4991.0,0.0,3076,2666
10,507,0.0,0,7,84,10,13832.0,4330.0,0.0,3497,3200
11,865,0.0,0,7,94,10,13748.0,4747.0,0.0,3855,3589
12,1259,0.0,0,7,101,10,13448.0,4694.0,0.0,4249,4055
13,172,0.0,0,8,105,10,13619.0,8436.0,0.0,4787,4428
14,581,0.0,0,8,118,10,12559.0,5729.0,0.0,5196,4864
15,795,0.0,0,9,123,10,7913.0,7496.0,0.0,5410,5047
16,1137,0.0,0,9,136,10,7399.0,7867.0,0.0,5752,5412
17,1360,0.0,0,9,142,10,9722.0,10265.0,0.0,5975,5711
18,26,0.0,0,10,155,10,13690.0,13260.0,0.0,6691,6867
19,352,0.0,0,10,166,10,9937.0,7128.0,0.0,7017,7174
20,489,0.0,0,10,167,10,11890.0,11644.0,0.0,7154,7203
21,785,0.0,0,11,173,10,11933.0,11710.0,0.0,7450,7436
22,168,0.0,0,11,185,10,13182.0,10173.0,0.0,7858,8071
23,905,0.0,0,12,205,10,6720.0,11414.0,0.0,8595,8908
24,1049,0.0,4,13,216,10,13470.0,9414.0,0.0,9539,10942
25,459,0.0,4,14,235,10,9861.0,9990.0,0.0,10218,11909
26,985,0.0,4,14,250,10,13442.0,10446.0,0.0,10745,12495
27,1396,0.0,4,14,263,10,13007.0,13936.0,0.0,11156,13002
28,1332,,4,15,263,10,,,,11182,13064
