,participantFrames.9.currentGold,participantFrames.9.dominionScore,participantFrames.9.jungleMinionsKilled,participantFrames.9.level,participantFrames.9.minionsKilled,participantFrames.9.participantId,participantFrames.9.position.x,participantFrames.9.position.y,participantFrames.9.teamScore,participantFrames.9.totalGold,participantFrames.9.xp
0,500,0.0,0,1,0,9,13879.0,9888.0,0.0,500,25
1,0,0.0,0,1,0,9,10656.0,8935.0,0.0,500,25
2,1327,0.0,7,3,0,9,5979.0,7250.0,0.0,1827,1056
3,135,0.0,11,4,0,9,8990.0,9364.0,0.0,2335,1543
4,796,0.0,15,5,0,9,9198.0,9557.0,0.0,2996,2013
5,1910,0.0,23,7,0,9,7299.0,6343.0,84.0,4110,3292
6,3402,0.0,23,8,9,9,7381.0,7888.0,24.0,5602,4989
7,1344,0.0,35,10,9,9,9679.0,8717.0,24.0,7019,6533
8,2098,0.0,43,11,9,9,7300.0,7853.0,24.0,7773,7358
9,3139,0.0,47,11,10,9,5116.0,4592.0,24.0,8814,8084
10,3821,,47,12,11,9,,,,9496,8861
