,participantFrames.9.currentGold,participantFrames.9.dominionScore,participantFrames.9.jungleMinionsKilled,participantFrames.9.level,participantFrames.9.minionsKilled,participantFrames.9.participantId,participantFrames.9.position.x,participantFrames.9.position.y,participantFrames.9.teamScore,participantFrames.9.totalGold,participantFrames.9.xp
0,500,0.0,0,1,0,9,14148.0,14401.0,0.0,500,0
1,5,0.0,0,1,0,9,10247.0,4547.0,0.0,505,0
2,161,0.0,0,1,1,9,13373.0,4359.0,0.0,661,38
3,76,0.0,0,2,8,9,13281.0,4083.0,0.0,1026,364
4,512,0.0,0,3,23,9,11256.0,1414.0,0.0,1462,848
5,901,0.0,0,4,30,9,11683.0,1873.0,0.0,1851,1158
6,1324,0.0,0,4,43,9,11624.0,1788.0,0.0,2274,1602
7,1643,0.0,0,5,53,9,11476.0,1612.0,0.0,2593,1928
8,2365,0.0,0,6,66,9,11883.0,3191.0,0.0,3315,2510
9,113,0.0,0,6,66,9,13093.0,2194.0,0.0,3438,2510
10,794,0.0,0,6,76,9,13195.0,3259.0,0.0,4119,3147
11,1178,0.0,0,7,90,9,12365.0,3265.0,0.0,4503,3697
12,1477,0.0,0,7,99,9,13361.0,3860.0,0.0,4802,3985
13,154,0.0,0,8,105,9,12939.0,3364.0,0.0,5029,4318
14,942,0.0,4,8,114,9,12118.0,8768.0,0.0,5817,4923
15,369,0.0,4,9,119,9,13157.0,4964.0,0.0,6094,5151
16,660,0.0,4,9,126,9,13979.0,5716.0,0.0,6385,5445
17,301,0.0,4,9,134,9,7596.0,13507.0,0.0,6626,5920
18,956,0.0,8,10,151,9,5180.0,11454.0,0.0,7281,6959
19,1835,0.0,8,11,155,9,8558.0,4801.0,0.0,8160,7323
20,119,0.0,8,11,160,9,13777.0,7520.0,0.0,8716,7731
21,866,0.0,12,12,182,9,11558.0,3580.0,0.0,9464,8859
22,1589,0.0,12,12,187,9,13412.0,6077.0,0.0,10187,9751
23,193,0.0,12,13,206,9,12449.0,12578.0,0.0,11091,10701
24,191,0.0,14,13,211,9,8512.0,8353.0,0.0,11359,11041
25,1446,0.0,14,14,224,9,7744.0,8308.0,0.0,12614,12401
26,1041,0.0,14,15,229,9,5956.0,10686.0,0.0,13059,13047
27,1313,0.0,18,15,232,9,5986.0,12752.0,0.0,13330,13362
28,1877,0.0,19,15,245,9,9375.0,9731.0,0.0,13895,14111
29,2316,0.0,19,15,259,9,8684.0,9121.0,0.0,14333,14533
30,2546,0.0,19,16,264,9,9774.0,9735.0,0.0,14563,14717
31,358,,19,16,268,9,,,,14716,14832
