,participantFrames.10.currentGold,participantFrames.10.dominionScore,participantFrames.10.jungleMinionsKilled,participantFrames.10.level,participantFrames.10.minionsKilled,participantFrames.10.participantId,participantFrames.10.position.x,participantFrames.10.position.y,participantFrames.10.teamScore,participantFrames.10.totalGold,participantFrames.10.xp
0,500,0.0,0,1,0,10,14148.0,14401.0,0.0,500,0
1,0,0.0,0,1,0,10,13831.0,12298.0,0.0,900,7
2,97,0.0,0,1,4,10,12259.0,1522.0,0.0,997,135
3,623,0.0,0,2,19,10,11672.0,2358.0,0.0,1523,583
4,906,0.0,0,3,28,10,11572.0,1752.0,0.0,1806,871
5,1302,0.0,0,4,41,10,11715.0,2832.0,0.0,2202,1296
6,257,0.0,0,4,48,10,13379.0,3920.0,0.0,2457,1578
7,663,0.0,0,5,61,10,13294.0,3068.0,0.0,2863,2072
8,52,0.0,0,5,64,10,13306.0,6632.0,0.0,3327,2324
9,331,0.0,0,6,68,10,12908.0,2219.0,0.0,3606,2569
10,708,0.0,0,6,79,10,13579.0,4094.0,0.0,3983,2979
11,1158,0.0,0,7,96,10,12217.0,2294.0,0.0,4433,3442
12,1806,0.0,0,7,106,10,10895.0,1908.0,0.0,5081,3989
13,38,0.0,0,8,112,10,13475.0,6553.0,0.0,5638,4162
14,439,0.0,0,8,124,10,6981.0,3128.0,0.0,6039,4955
15,723,0.0,0,8,126,10,11295.0,1605.0,0.0,6323,5017
16,295,0.0,0,9,136,10,3033.0,13440.0,0.0,6696,5406
17,345,0.0,0,10,148,10,6995.0,13190.0,0.0,7645,6336
18,704,0.0,0,10,158,10,2367.0,9694.0,0.0,8004,6840
19,1150,0.0,4,11,167,10,8061.0,3501.0,0.0,8450,7394
20,355,0.0,4,11,172,10,10101.0,7442.0,0.0,8730,7692
21,860,0.0,8,11,181,10,9360.0,1753.0,0.0,9235,8321
22,1178,0.0,8,12,188,10,9423.0,3652.0,0.0,9553,8678
23,1646,0.0,8,12,200,10,7467.0,8376.0,0.0,10021,9533
24,1895,0.0,12,12,201,10,8820.0,5910.0,0.0,10269,9665
25,1156,0.0,12,13,211,10,6444.0,12631.0,0.0,10636,10124
26,2157,0.0,16,13,229,10,1809.0,7532.0,0.0,11637,11352
27,555,0.0,16,13,229,10,12230.0,12864.0,0.0,11759,11364
28,887,0.0,16,14,237,10,12238.0,12707.0,0.0,12092,11807
29,124,0.0,16,14,248,10,10310.0,4943.0,0.0,12548,12306
30,828,0.0,24,14,257,10,12987.0,11571.0,0.0,13252,12827
31,1359,0.0,24,15,266,10,8875.0,9729.0,0.0,13783,13265
32,1788,0.0,28,15,273,10,7148.0,9061.0,0.0,14212,13789
33,1874,0.0,28,16,280,10,8504.0,8942.0,0.0,16649,15388
34,1552,0.0,28,17,287,10,10292.0,5014.0,0.0,17266,16545
35,364,0.0,32,17,302,10,11166.0,12329.0,0.0,17878,17339
36,638,0.0,32,17,306,10,5436.0,6093.0,0.0,18152,17600
37,1295,0.0,32,17,317,10,7496.0,6699.0,0.0,18809,18009
38,1659,0.0,36,18,328,10,7300.0,6767.0,0.0,19673,18882
39,2482,0.0,36,18,336,10,7531.0,8345.0,0.0,20496,19534
40,3520,0.0,40,18,343,10,6658.0,7796.0,0.0,21533,21705
41,4332,0.0,40,18,359,10,4784.0,1010.0,0.0,22345,22254
42,4642,0.0,40,18,359,10,5233.0,1255.0,0.0,22655,22785
43,4281,,40,18,359,10,,,,22731,22785
