,participantFrames.5.currentGold,participantFrames.5.dominionScore,participantFrames.5.jungleMinionsKilled,participantFrames.5.level,participantFrames.5.minionsKilled,participantFrames.5.participantId,participantFrames.5.position.x,participantFrames.5.position.y,participantFrames.5.teamScore,participantFrames.5.totalGold,participantFrames.5.xp
0,500,0.0,0,1,0,5,222.0,471.0,0.0,500,0
1,0,0.0,0,1,0,5,7400.0,1456.0,0.0,500,0
2,77,0.0,0,1,3,5,12166.0,2013.0,0.0,577,134
3,760,0.0,0,2,13,5,12022.0,3442.0,0.0,1260,619
4,162,0.0,0,3,16,5,13492.0,2758.0,0.0,1512,827
5,557,0.0,0,4,30,5,11573.0,4133.0,0.0,1907,1383
6,379,0.0,0,4,30,5,11062.0,1859.0,0.0,2329,1529
7,813,0.0,0,5,45,5,11866.0,2108.0,0.0,2763,2030
8,175,0.0,0,5,51,5,8891.0,1406.0,0.0,3365,2386
9,636,0.0,0,6,67,5,9541.0,1838.0,0.0,3826,3018
10,970,0.0,0,7,78,5,12193.0,2215.0,0.0,4160,3360
11,87,0.0,0,7,82,5,6997.0,1038.0,0.0,4652,3970
12,15,0.0,0,8,88,5,2686.0,734.0,0.0,4880,4202
13,418,0.0,0,8,99,5,12884.0,2295.0,0.0,5283,4634
14,820,0.0,0,9,110,5,13164.0,3688.0,0.0,5685,5056
15,431,0.0,0,9,117,5,8882.0,939.0,0.0,5996,5410
16,658,0.0,0,9,123,5,12862.0,3363.0,0.0,6223,5675
17,265,0.0,0,9,128,5,7521.0,1420.0,0.0,6430,5978
18,87,0.0,0,10,135,5,394.0,461.0,0.0,6752,6374
19,1370,0.0,0,11,146,5,1605.0,6575.0,0.0,8035,7407
20,101,0.0,0,11,152,5,6320.0,881.0,0.0,8341,7718
21,329,0.0,0,11,155,5,3846.0,1823.0,0.0,8569,8162
22,1085,0.0,0,12,170,5,2769.0,7943.0,0.0,9325,9222
23,1293,0.0,4,12,170,5,1226.0,7117.0,0.0,9533,9394
24,339,0.0,8,12,172,5,5892.0,5202.0,0.0,9878,9775
25,508,0.0,8,13,174,5,4034.0,3236.0,0.0,10048,10348
26,555,,8,13,174,5,,,,10155,10407
