,participantFrames.8.currentGold,participantFrames.8.dominionScore,participantFrames.8.jungleMinionsKilled,participantFrames.8.level,participantFrames.8.minionsKilled,participantFrames.8.participantId,participantFrames.8.position.x,participantFrames.8.position.y,participantFrames.8.teamScore,participantFrames.8.totalGold,participantFrames.8.xp
0,500,0.0,0,1,0,8,14148.0,14401.0,0.0,500,0
1,0,0.0,0,1,0,8,13197.0,6306.0,0.0,500,0
2,83,0.0,0,1,3,8,13293.0,2595.0,0.0,583,115
3,489,0.0,0,2,17,8,12471.0,2446.0,0.0,989,559
4,1087,0.0,0,3,26,8,14198.0,14091.0,0.0,1567,885
5,312,0.0,0,4,35,8,13372.0,3724.0,0.0,1892,1279
6,624,0.0,0,4,46,8,12262.0,1838.0,0.0,2204,1624
7,968,0.0,0,5,56,8,12721.0,2567.0,0.0,2548,2016
8,1397,0.0,0,6,71,8,11026.0,3331.0,0.0,2977,2498
9,195,0.0,0,6,71,8,13287.0,3897.0,0.0,3100,2557
10,641,0.0,0,6,87,8,11460.0,1412.0,0.0,3546,3059
11,44,0.0,0,7,94,8,12075.0,7977.0,0.0,4199,3583
12,320,0.0,0,7,102,8,13154.0,3426.0,0.0,4475,3871
13,802,0.0,0,8,118,8,13897.0,4050.0,0.0,4957,4358
14,36,0.0,0,8,125,8,13520.0,7304.0,0.0,5266,4591
15,482,0.0,4,9,139,8,13547.0,4438.0,0.0,5712,5373
16,1599,0.0,4,10,152,8,14340.0,14391.0,0.0,6829,6202
17,720,0.0,4,10,159,8,4994.0,5494.0,0.0,7250,6822
18,1332,0.0,10,10,164,8,8030.0,7825.0,0.0,7862,7275
19,1838,0.0,10,11,182,8,6310.0,6692.0,0.0,8368,7951
20,844,0.0,10,11,188,8,7146.0,3976.0,0.0,8649,8453
21,937,,10,12,193,8,,,,8762,8659
