,participantFrames.9.currentGold,participantFrames.9.dominionScore,participantFrames.9.jungleMinionsKilled,participantFrames.9.level,participantFrames.9.minionsKilled,participantFrames.9.participantId,participantFrames.9.position.x,participantFrames.9.position.y,participantFrames.9.teamScore,participantFrames.9.totalGold,participantFrames.9.xp
0,500,0.0,0,1,0,9,14148.0,14401.0,0.0,500,0
1,0,0.0,0,1,0,9,10830.0,5252.0,0.0,500,0
2,84,0.0,0,1,3,9,12850.0,2858.0,0.0,584,115
3,265,0.0,0,2,7,9,13599.0,4640.0,0.0,765,312
4,756,0.0,0,3,26,9,12829.0,2733.0,0.0,1256,1083
5,74,0.0,0,4,27,9,13932.0,10442.0,0.0,1399,1201
6,456,0.0,0,4,42,9,12435.0,3032.0,0.0,1781,1643
7,843,0.0,0,5,54,9,13036.0,2123.0,0.0,2168,2091
8,194,0.0,0,5,57,9,13599.0,4241.0,0.0,2394,2286
9,578,0.0,4,6,68,9,13341.0,3050.0,0.0,2778,2821
10,847,0.0,4,6,77,9,13712.0,6696.0,0.0,3047,3052
11,1297,0.0,4,7,93,9,10684.0,1583.0,0.0,3497,3596
12,107,0.0,4,8,106,9,12273.0,12499.0,0.0,4207,4126
13,706,0.0,4,8,116,9,10864.0,3490.0,0.0,4806,4716
14,229,0.0,4,8,116,9,13231.0,9672.0,0.0,4929,4716
15,512,0.0,4,9,125,9,13538.0,6096.0,0.0,5212,5126
16,94,0.0,4,9,137,9,6443.0,12613.0,0.0,5594,5719
17,526,0.0,6,10,149,9,9802.0,6978.0,0.0,6026,6430
18,902,0.0,6,10,159,9,10887.0,10436.0,0.0,6402,6791
19,15,0.0,6,10,172,9,12048.0,11983.0,0.0,6765,7184
20,423,0.0,6,11,184,9,10565.0,11939.0,0.0,7173,7571
21,772,0.0,6,11,196,9,11037.0,4419.0,0.0,7522,8230
22,682,0.0,6,12,206,9,7685.0,9855.0,0.0,7897,8682
23,803,,6,12,209,9,,,,8078,8926
