,participantFrames.1.currentGold,participantFrames.1.dominionScore,participantFrames.1.jungleMinionsKilled,participantFrames.1.level,participantFrames.1.minionsKilled,participantFrames.1.participantId,participantFrames.1.position.x,participantFrames.1.position.y,participantFrames.1.teamScore,participantFrames.1.totalGold,participantFrames.1.xp
0,500,0.0,0,1,0,1,1466.0,9738.0,0.0,500,25
1,0,0.0,0,1,0,1,4734.0,8641.0,0.0,500,25
2,1338,0.0,8,3,1,1,7573.0,6891.0,0.0,1838,1127
3,317,0.0,8,4,1,1,6790.0,9400.0,0.0,2217,1431
4,1413,0.0,12,5,2,1,7556.0,7536.0,0.0,3313,2321
5,385,0.0,18,6,2,1,6087.0,9800.0,0.0,4060,3178
6,922,0.0,18,7,2,1,8070.0,7659.0,22.0,4597,3748
7,768,0.0,22,8,2,1,6041.0,7236.0,8.0,5243,4621
8,69,0.0,29,9,2,1,2809.0,8669.0,8.0,6244,5650
9,193,0.0,29,9,2,1,6008.0,6635.0,8.0,6818,6054
10,275,0.0,30,10,2,1,6691.0,6647.0,22.0,7650,6947
11,502,0.0,30,11,4,1,7225.0,8846.0,44.0,8527,8005
12,3022,0.0,36,13,4,1,7450.0,10101.0,44.0,11047,10204
13,809,0.0,40,13,4,1,10050.0,6657.0,44.0,12185,11439
14,1778,0.0,40,15,5,1,12223.0,8097.0,29.0,13154,13939
15,1919,0.0,40,16,7,1,12548.0,8851.0,0.0,14015,15822
16,1290,,40,16,7,1,,,,14085,15847
