,participantFrames.10.currentGold,participantFrames.10.dominionScore,participantFrames.10.jungleMinionsKilled,participantFrames.10.level,participantFrames.10.minionsKilled,participantFrames.10.participantId,participantFrames.10.position.x,participantFrames.10.position.y,participantFrames.10.teamScore,participantFrames.10.totalGold,participantFrames.10.xp
0,500,0.0,0,1,0,10,14148.0,14401.0,0.0,500,0
1,0,0.0,0,1,0,10,11138.0,5486.0,0.0,500,0
2,98,0.0,0,1,4,10,12856.0,2834.0,0.0,598,134
3,511,0.0,0,2,15,10,13815.0,4001.0,0.0,1011,573
4,1216,0.0,0,3,29,10,12619.0,3059.0,0.0,1716,1104
5,368,0.0,0,4,37,10,12436.0,2503.0,0.0,2032,1396
6,786,0.0,0,5,49,10,13598.0,4443.0,0.0,2450,1780
7,1133,0.0,0,5,59,10,13242.0,3518.0,0.0,2797,2206
8,1551,0.0,0,6,67,10,13486.0,6834.0,0.0,3215,2629
9,201,0.0,0,6,72,10,13554.0,4678.0,0.0,3415,2755
10,521,0.0,0,6,80,10,13826.0,5121.0,0.0,3735,3078
11,154,0.0,0,7,93,10,8140.0,8753.0,0.0,4143,3700
12,1198,0.0,0,8,102,10,1518.0,10808.0,0.0,5187,4531
13,439,0.0,4,8,108,10,5066.0,10230.0,0.0,5648,4826
14,859,0.0,4,9,122,10,5024.0,9258.0,0.0,6068,5448
15,2102,0.0,4,10,133,10,7691.0,6952.0,0.0,7311,6291
16,957,0.0,4,10,133,10,14077.0,14080.0,0.0,7599,6774
17,353,0.0,8,10,136,10,7263.0,6767.0,0.0,7870,7182
18,1404,0.0,8,11,149,10,5380.0,5446.0,0.0,8921,7904
19,2540,0.0,8,12,157,10,6645.0,6305.0,0.0,10057,8789
20,1622,0.0,12,12,172,10,2885.0,7123.0,0.0,11265,9798
21,819,0.0,16,13,172,10,4474.0,13907.0,0.0,11512,9987
22,1166,0.0,20,13,178,10,3061.0,12901.0,0.0,12208,11202
23,381,0.0,20,14,188,10,2301.0,3052.0,0.0,12574,11626
24,2323,0.0,20,14,203,10,2572.0,1363.0,0.0,14515,12828
25,1179,0.0,20,15,205,10,5313.0,1687.0,0.0,15072,13468
26,12,,20,15,205,10,,,,15295,13468
