,participantFrames.4.currentGold,participantFrames.4.dominionScore,participantFrames.4.jungleMinionsKilled,participantFrames.4.level,participantFrames.4.minionsKilled,participantFrames.4.participantId,participantFrames.4.position.x,participantFrames.4.position.y,participantFrames.4.teamScore,participantFrames.4.totalGold,participantFrames.4.xp
0,500,0,0,1,0,4,561,581,0,500,0
1,0,0,0,1,0,4,1132,12324,0,500,0
2,68,0,0,1,2,4,1103,11613,0,568,117
3,284,0,0,2,7,4,394,461,0,784,471
4,593,0,0,4,19,4,1599,11800,0,1168,1181
5,995,0,0,5,33,4,3784,13018,0,1570,1920
6,1411,0,0,5,38,4,3359,13036,0,1986,2244
7,1744,0,0,6,47,4,421,541,0,2319,2786
8,171,0,0,6,52,4,1418,11378,0,2518,3109
9,478,0,0,7,61,4,1677,11224,0,2825,3558
10,516,0,0,7,71,4,2015,11648,0,3113,4029
11,798,0,0,8,77,4,3266,12917,0,3395,4386
12,1309,0,0,9,92,4,1790,9994,0,3906,5186
13,530,0,0,9,97,4,8688,1354,0,4117,5392
14,159,0,0,9,100,4,8549,5809,0,4296,5698
15,414,0,0,9,108,4,7983,1362,0,4551,6022
16,899,0,0,10,125,4,10908,1823,0,5036,6850
17,1975,0,0,11,130,4,11850,3961,0,6112,7619
18,361,0,0,11,134,4,12261,2557,0,6373,7829
19,917,0,0,12,150,4,11156,5172,0,6929,8708
20,319,0,0,12,163,4,594,650,0,7431,9508
21,232,0,0,12,163,4,3274,11799,0,7869,9755
22,359,0,0,12,163,4,7408,1689,0,7996,9931
23,456,0,0,13,169,4,469,955,0,8363,10298
