,participantFrames.8.currentGold,participantFrames.8.dominionScore,participantFrames.8.jungleMinionsKilled,participantFrames.8.level,participantFrames.8.minionsKilled,participantFrames.8.participantId,participantFrames.8.position.x,participantFrames.8.position.y,participantFrames.8.teamScore,participantFrames.8.totalGold,participantFrames.8.xp
0,500,0.0,0,1,0,8,14277.0,14223.0,0.0,500,0
1,0,0.0,0,1,0,8,11800.0,4002.0,0.0,500,0
2,97,0.0,0,1,4,8,12973.0,2992.0,0.0,597,134
3,338,0.0,0,2,11,8,13287.0,3086.0,0.0,838,492
4,725,0.0,0,3,24,8,14340.0,14391.0,0.0,1225,995
5,159,0.0,0,3,26,8,13213.0,3850.0,0.0,1389,1072
6,478,0.0,0,4,37,8,13205.0,3592.0,0.0,1708,1554
7,789,0.0,0,5,48,8,13795.0,5450.0,0.0,2019,1960
8,1155,0.0,0,6,59,8,12911.0,3369.0,0.0,2385,2424
9,266,0.0,0,6,65,8,13058.0,3347.0,0.0,2671,2638
10,542,0.0,0,6,74,8,13680.0,4588.0,0.0,2947,3032
11,929,0.0,0,7,86,8,13601.0,4457.0,0.0,3334,3481
12,321,0.0,0,7,92,8,13966.0,7237.0,0.0,3561,3746
13,731,0.0,0,8,105,8,13540.0,7194.0,0.0,3971,4231
14,1152,0.0,0,8,118,8,13760.0,6098.0,0.0,4392,4716
15,77,0.0,0,9,128,8,13971.0,14196.0,0.0,4682,5128
16,473,0.0,0,9,140,8,7711.0,9911.0,0.0,5078,5691
17,732,0.0,0,9,141,8,1330.0,10166.0,0.0,5337,5989
18,754,0.0,0,10,154,8,13321.0,5637.0,0.0,6159,6809
19,235,0.0,4,11,163,8,6585.0,12603.0,0.0,6515,7352
20,1176,0.0,4,11,177,8,2685.0,12432.0,0.0,7456,8331
21,642,0.0,4,12,187,8,8424.0,10166.0,0.0,7822,8733
22,60,0.0,4,12,198,8,14130.0,6803.0,0.0,8240,9413
23,416,0.0,4,13,203,8,9913.0,13253.0,0.0,8596,10306
24,984,0.0,4,13,220,8,13833.0,5679.0,0.0,9164,11210
25,207,0.0,4,13,220,8,8705.0,10754.0,0.0,9287,11262
26,156,,4,13,220,8,,,,9316,11262
