,participantFrames.7.currentGold,participantFrames.7.dominionScore,participantFrames.7.jungleMinionsKilled,participantFrames.7.level,participantFrames.7.minionsKilled,participantFrames.7.participantId,participantFrames.7.position.x,participantFrames.7.position.y,participantFrames.7.teamScore,participantFrames.7.totalGold,participantFrames.7.xp
0,500,0.0,0,1,0,7,13541.0,9778.0,0.0,500,25
1,34,0.0,0,1,0,7,7405.0,7249.0,0.0,534,32
2,642,0.0,0,4,7,7,8885.0,4442.0,0.0,1142,1152
3,278,0.0,0,5,13,7,7289.0,4528.0,0.0,1828,1932
4,531,0.0,0,6,19,7,6905.0,4024.0,0.0,2381,2441
5,103,0.0,0,6,21,7,9656.0,5403.0,0.0,2853,3021
6,635,0.0,0,7,26,7,9350.0,4453.0,0.0,3385,3888
7,331,0.0,0,8,28,7,13461.0,9520.0,2.0,5331,4671
8,1269,0.0,0,9,29,7,8918.0,6087.0,2.0,6269,5520
9,452,0.0,0,10,36,7,8580.0,4258.0,2.0,6737,6219
10,852,0.0,0,10,39,7,7459.0,5384.0,43.0,8202,7026
11,1049,0.0,0,11,42,7,11035.0,6867.0,10.0,9049,8237
12,2939,0.0,0,13,56,7,8643.0,6302.0,33.0,10939,11174
13,951,0.0,0,14,57,7,7028.0,6140.0,33.0,11452,11901
14,542,0.0,4,15,60,7,9107.0,4847.0,33.0,12577,13307
15,1336,0.0,4,16,67,7,9161.0,4982.0,13.0,13372,14777
16,1654,,4,16,72,7,,,,13689,15714
