,participantFrames.8.currentGold,participantFrames.8.dominionScore,participantFrames.8.jungleMinionsKilled,participantFrames.8.level,participantFrames.8.minionsKilled,participantFrames.8.participantId,participantFrames.8.position.x,participantFrames.8.position.y,participantFrames.8.teamScore,participantFrames.8.totalGold,participantFrames.8.xp
0,500,0.0,0,1,0,8,14148.0,14401.0,0.0,500,0
1,0,0.0,0,1,0,8,13057.0,4952.0,0.0,500,0
2,76,0.0,0,1,3,8,12787.0,3125.0,0.0,576,134
3,585,0.0,0,2,13,8,13620.0,4237.0,0.0,1085,460
4,1069,0.0,0,3,22,8,12448.0,2756.0,0.0,1569,946
5,1419,0.0,0,4,31,8,13988.0,4132.0,0.0,1919,1514
6,1917,0.0,0,5,45,8,11828.0,3362.0,0.0,2417,2069
7,209,0.0,0,5,49,8,13286.0,3967.0,0.0,2609,2184
8,559,0.0,0,6,59,8,12676.0,3211.0,0.0,2959,2570
9,902,0.0,0,6,71,8,12823.0,2667.0,0.0,3302,2940
10,1418,0.0,0,7,85,8,11552.0,1887.0,0.0,3818,3384
11,1956,0.0,0,7,96,8,13616.0,2912.0,0.0,4356,3789
12,258,0.0,0,7,100,8,13504.0,6812.0,0.0,4558,4054
13,1215,0.0,0,8,112,8,10750.0,1699.0,0.0,5515,4649
14,694,0.0,0,8,118,8,14262.0,14158.0,0.0,5894,5021
15,988,0.0,4,9,119,8,11451.0,1957.0,0.0,6188,5243
16,32,0.0,6,9,130,8,9828.0,945.0,0.0,6740,5804
17,507,0.0,6,10,142,8,6200.0,7255.0,0.0,7215,6515
18,1015,0.0,10,10,150,8,8058.0,5038.0,0.0,7723,6956
19,1871,0.0,10,11,169,8,6901.0,7302.0,0.0,8579,7784
20,2594,0.0,10,11,175,8,10140.0,8300.0,0.0,9302,8250
21,967,0.0,10,11,182,8,6939.0,7145.0,0.0,9643,8553
22,1380,0.0,14,12,188,8,5895.0,7110.0,0.0,10055,9019
23,1732,0.0,14,12,196,8,5030.0,9998.0,0.0,10408,9278
24,61,0.0,14,13,201,8,7462.0,11166.0,0.0,11637,10748
25,534,0.0,18,13,214,8,5108.0,5108.0,0.0,12109,11358
26,1473,0.0,18,14,226,8,2415.0,3058.0,0.0,13048,11833
27,1769,0.0,18,14,227,8,5654.0,1486.0,0.0,13344,12232
28,1900,0.0,22,14,232,8,2688.0,2679.0,0.0,14075,12960
29,2392,,22,15,232,8,,,,14600,13719
